City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
133,Adelaide,AU,-34.9333,138.6,57.99,82,0,1.41,clear sky,2021-05-07 15:18:31
134,Prachuap Khiri Khan,TH,12.2167,99.75,74.39,86,26,2.15,light rain,2021-05-07 15:17:30
135,Del Rio,US,29.3627,-100.8968,75.2,43,1,10.36,clear sky,2021-05-07 15:18:32
136,Caravelas,BR,-17.7125,-39.2481,85.53,56,55,8.14,broken clouds,2021-05-07 15:18:32
137,Dunedin,NZ,-45.8742,170.5036,51.01,97,100,2.82,overcast clouds,2021-05-07 15:18:32
138,Paralimni,CY,35.0375,33.9833,77.0,61,20,6.91,few clouds,2021-05-07 15:18:33
139,Kodiak,US,57.79,-152.4072,39.2,70,90,6.91,overcast clouds,2021-05-07 15:18:33
140,Ulaanbaatar,MN,47.9077,106.8832,39.2,45,0,8.95,clear sky,2021-05-07 15:18:33
141,Mount Gambier,AU,-37.8333,140.7667,53.6,100,33,6.91,scattered clouds,2021-05-07 15:18:33
142,Diamantina,BR,-18.2494,-43.6003,75.92,41,6,3.89,clear sky,2021-05-07 15:18:34
143,New Norfolk,AU,-42.7826,147.0587,59.0,79,100,1.01,light rain,2021-05-07 15:18:35
144,Mahendranagar,NP,28.9167,80.3333,73.54,71,96,9.78,overcast clouds,2021-05-07 15:18:35
145,Pevek,RU,69.7008,170.3133,2.71,97,87,5.97,overcast clouds,2021-05-07 15:18:35
146,Ulagan,RU,50.6321,87.9563,52.99,87,100,4.52,overcast clouds,2021-05-07 15:18:36
147,Matara,LK,5.9485,80.5353,79.3,86,99,7.43,overcast clouds,2021-05-07 15:18:36
148,Nicolas Bravo,MX,18.45,-88.9167,82.4,89,75,11.5,broken clouds,2021-05-07 15:18:36
149,Zhigansk,RU,66.7697,123.3711,32.45,88,100,6.2,overcast clouds,2021-05-07 15:18:36
150,Tuatapere,NZ,-46.1333,167.6833,42.01,97,99,1.01,overcast clouds,2021-05-07 15:18:37
151,Zanjan,IR,36.6736,48.4787,55.4,76,75,4.61,broken clouds,2021-05-07 15:18:37
152,Lompoc,US,34.6391,-120.4579,51.8,93,24,8.05,mist,2021-05-07 15:13:47
153,Torbay,CA,47.6666,-52.7314,44.01,93,90,9.22,mist,2021-05-07 15:18:37
154,Lasa,IT,46.6166,10.7002,71.6,43,75,8.05,broken clouds,2021-05-07 15:18:38
155,Pemangkat,ID,1.1667,108.9667,77.4,88,98,8.39,overcast clouds,2021-05-07 15:18:38
156,San Andres,CO,12.5847,-81.7006,86.0,70,75,14.97,broken clouds,2021-05-07 15:18:38
157,Palmer,US,42.1584,-72.3287,64.0,31,20,5.75,few clouds,2021-05-07 15:18:39
158,Saint George,US,37.1041,-113.5841,77.0,21,1,8.05,clear sky,2021-05-07 15:16:36
159,Nagayo,JP,32.8242,129.8861,68.0,77,73,11.99,broken clouds,2021-05-07 15:18:39
160,Kloulklubed,PW,7.0419,134.2556,78.8,94,75,5.75,broken clouds,2021-05-07 15:16:01
161,Gigmoto,PH,13.7796,124.39,80.01,90,90,7.0,overcast clouds,2021-05-07 15:18:39
162,Kamenka,RU,51.3223,42.7678,50.76,80,97,8.57,overcast clouds,2021-05-07 15:18:40
163,Christchurch,NZ,-43.5333,172.6333,55.99,87,90,4.61,overcast clouds,2021-05-07 15:15:05
164,Marsa Matruh,EG,31.3525,27.2453,82.4,47,0,10.36,clear sky,2021-05-07 15:18:40
165,Tevaitoa,PF,-16.7833,-151.5,81.66,67,55,11.23,broken clouds,2021-05-07 15:18:40
166,Southbridge,US,42.0751,-72.0334,62.01,33,40,1.99,scattered clouds,2021-05-07 15:18:40
167,Qaanaaq,GL,77.484,-69.3632,26.6,82,100,4.56,overcast clouds,2021-05-07 15:18:41
168,Goundam,ML,16.4145,-3.6708,105.93,10,64,7.65,broken clouds,2021-05-07 15:18:41
169,Kaspi,GE,41.9252,44.4257,69.8,32,0,17.27,clear sky,2021-05-07 15:18:41
170,Ouesso,CG,1.6136,16.0517,76.15,92,99,4.92,light rain,2021-05-07 15:18:42
171,Buala,SB,-8.145,159.5921,81.45,85,100,9.91,overcast clouds,2021-05-07 15:18:42
172,Longonjo,AO,-12.9067,15.2533,72.84,74,80,1.39,moderate rain,2021-05-07 15:18:42
173,Lazaro Cardenas,MX,17.9583,-102.2,84.51,52,99,1.72,overcast clouds,2021-05-07 15:18:43
174,Skelleftea,SE,64.7507,20.9528,44.01,52,40,4.61,scattered clouds,2021-05-07 15:18:43
175,Sampit,ID,-2.5333,112.95,75.0,91,96,0.16,light rain,2021-05-07 15:18:44
176,Namibe,AO,-15.1961,12.1522,78.03,72,12,15.48,few clouds,2021-05-07 15:18:44
177,Half Moon Bay,US,37.4636,-122.4286,55.4,87,1,10.36,haze,2021-05-07 15:16:23
178,Hay River,CA,60.8156,-115.7999,48.2,40,75,14.97,broken clouds,2021-05-07 15:14:54
179,Alta Floresta,BR,-9.8756,-56.0861,78.8,65,0,6.91,clear sky,2021-05-07 15:18:44
180,Udayagiri,IN,20.1333,84.3833,74.73,71,43,3.56,scattered clouds,2021-05-07 15:18:45
181,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,88,20,14.97,few clouds,2021-05-07 15:18:45
182,Shanting,CN,35.0753,117.4578,59.43,40,20,5.19,few clouds,2021-05-07 15:18:45
183,Lakes Entrance,AU,-37.8811,147.981,55.0,98,99,6.04,overcast clouds,2021-05-07 15:18:45
184,Lermontovka,RU,47.1453,134.3383,50.13,95,100,4.0,light rain,2021-05-07 15:18:46
185,Udachnyy,RU,66.4167,112.4,30.72,91,77,5.77,broken clouds,2021-05-07 15:18:46
186,Pangnirtung,CA,66.1451,-65.7125,39.2,75,75,6.91,broken clouds,2021-05-07 15:18:46
187,Faanui,PF,-16.4833,-151.75,82.4,65,70,12.37,broken clouds,2021-05-07 15:18:47
188,Moron,AR,-34.6534,-58.6198,62.6,59,0,6.91,clear sky,2021-05-07 15:18:47
189,Sandwick,GB,60.0,-1.25,44.6,70,40,2.3,scattered clouds,2021-05-07 15:18:47
190,Yellowknife,CA,62.456,-114.3525,45.0,45,20,11.5,few clouds,2021-05-07 15:16:44
191,Belaya Gora,RU,68.5333,146.4167,26.1,88,99,6.4,overcast clouds,2021-05-07 15:18:48
192,Port Elizabeth,ZA,-33.918,25.5701,64.4,82,0,5.75,clear sky,2021-05-07 15:18:03
193,Saldanha,ZA,-33.0117,17.9442,68.0,60,13,14.97,few clouds,2021-05-07 15:18:48
194,Sur,OM,22.5667,59.5289,87.69,61,96,14.12,overcast clouds,2021-05-07 15:18:48
195,Simpang,ID,-1.2667,104.0833,75.79,95,94,1.01,overcast clouds,2021-05-07 15:18:49
196,Itacoatiara,BR,-3.1431,-58.4442,88.14,59,70,5.1,broken clouds,2021-05-07 15:18:24
