City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Gizo,SB,82.85,light rain,-8.103,156.8419,Imagination Island
405,Coro,VE,84.45,broken clouds,11.4045,-69.6734,Federal
416,Veraval,IN,83.75,clear sky,20.9,70.3667,Lords Inn Somnath
418,Abha,SA,75.2,broken clouds,18.2164,42.5053,Abha Hotel
422,Menongue,AO,78.33,overcast clouds,-14.6585,17.691,Ritz Lauca
425,Moroni,KM,82.4,few clouds,-11.7022,43.2551,Hotel les Arcades
426,Cap Estate,LC,84.2,broken clouds,14.0833,-60.95,Coco Palm Resort
428,Sao Joao Da Barra,BR,84.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
430,Cabo Rojo,PR,86.0,clear sky,18.0866,-67.1457,Hotel Perichi's
433,Bhainsdehi,IN,88.23,few clouds,21.6467,77.6325,Prince Rathore HOME
443,Fare,PF,81.61,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
445,Los Llanos De Aridane,ES,75.2,broken clouds,28.6585,-17.9182,Valle Aridane
446,Lata,PT,79.0,clear sky,40.1629,-8.3327,Casa Maquia
450,Vao,NC,76.26,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
451,Hue,VN,80.6,scattered clouds,16.4667,107.6,Saigon Morin Hotel
453,Lakatoro,VU,80.53,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
463,Cam Ranh,VN,82.4,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
473,Piacabucu,BR,81.37,few clouds,-10.4056,-36.4344,Piaçabuçu News
475,Faya,SA,75.2,broken clouds,18.3851,42.4509,مقبرة ال مجمل
476,Oranjestad,AW,84.2,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
483,Manggar,ID,80.65,overcast clouds,-2.8833,108.2667,Guest Hotel
484,Dingle,PH,79.66,light rain,10.9995,122.6711,SEGAYA PROPERTY
485,Tayoltita,MX,83.52,few clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
487,Kamina,CD,77.13,few clouds,-8.7386,24.9906,Guest House Florvia
491,Soyo,AO,87.8,few clouds,-6.1349,12.3689,Hotel Mpampa
492,Puerto Narino,CO,82.4,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
494,Marsh Harbour,BS,80.49,heavy intensity rain,26.5412,-77.0636,Abaco Beach Resort
499,Pedernales,DO,83.62,clear sky,18.0384,-71.744,Hotel Costa Marina
504,Port-Gentil,GA,82.4,light rain,-0.7193,8.7815,Fengshui Residence
505,Tirumullaivasal,IN,85.77,scattered clouds,11.2333,79.8333,Hajaali
506,Salalah,OM,86.0,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
516,Hami,CN,79.38,few clouds,42.8,93.45,Laoyutang Resort
528,Gazanjyk,TM,76.68,few clouds,39.2446,55.5154,Railway motel
530,Banda Aceh,ID,80.91,moderate rain,5.5577,95.3222,Sulthan Hotel International
535,Ishigaki,JP,78.26,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
536,Inhambane,MZ,75.0,few clouds,-23.865,35.3833,Oceano
540,Berbera,SO,87.62,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
543,Kulhudhuffushi,MV,86.13,broken clouds,6.6221,73.07,Haajy Guest House 1
544,Limbe,CM,87.8,light rain,4.0242,9.2149,The LK Hotel at Bonadikombo
545,Yamethin,MM,82.98,clear sky,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
546,Namatanai,PG,79.63,light rain,-3.6667,152.4333,Namatanai Hotel
550,Esmeraldas,BR,82.4,few clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
551,Manaure,CO,85.84,overcast clouds,11.7751,-72.4445,Hotel Palaaima
553,Pangai,TO,77.7,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
555,Aracoiaba,BR,88.0,overcast clouds,-4.3711,-38.8142,BECO DA FOFOCA
556,Jacqueville,CI,84.2,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
561,Karwar,IN,83.3,broken clouds,14.8,74.1333,Netalco Connects
