City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Hambantota,LK,2021-03-21 22:04:54,6.1241,81.1185,77.45,87,94,7.16
101,Walvis Bay,NA,2021-03-21 22:04:54,-22.9575,14.5053,63.0,88,0,6.91
102,Pori,FI,2021-03-21 22:04:54,61.4833,21.7833,30.2,55,0,10.36
103,New Norfolk,AU,2021-03-21 22:04:54,-42.7826,147.0587,62.01,72,29,1.01
104,Margate,GB,2021-03-21 22:04:55,51.3813,1.3862,44.01,74,100,1.01
105,Olafsvik,IS,2021-03-21 22:04:55,64.8945,-23.7142,43.05,88,100,34.43
106,Ola,RU,2021-03-21 22:04:55,59.5833,151.2833,8.22,84,94,8.23
107,Mandera,KE,2021-03-21 22:04:56,3.9366,41.867,85.19,46,26,2.42
108,Codrington,AU,2021-03-21 22:01:41,-38.2667,141.9667,66.07,80,83,12.48
109,Iqaluit,CA,2021-03-21 22:00:13,63.7506,-68.5145,-5.01,71,75,3.44
110,Berlevag,NO,2021-03-21 22:04:56,70.8578,29.0864,28.4,86,75,20.71
111,Namibe,AO,2021-03-21 22:04:56,-15.1961,12.1522,73.26,79,82,0.65
112,Energetik,RU,2021-03-21 22:04:57,51.7445,58.7934,14.0,92,100,6.93
113,Yellowknife,CA,2021-03-21 22:01:05,62.456,-114.3525,1.4,51,20,12.66
114,Novosergiyevka,RU,2021-03-21 22:04:57,52.0934,53.6528,18.61,96,100,5.53
115,Mackay,AU,2021-03-21 22:00:08,-21.15,149.2,77.0,94,75,1.14
116,Faya,SA,2021-03-21 22:04:57,18.3851,42.4509,64.4,27,0,5.48
117,Hermanus,ZA,2021-03-21 22:04:58,-34.4187,19.2345,61.0,82,3,3.0
118,Raudeberg,NO,2021-03-21 22:04:58,61.9875,5.1352,39.99,93,100,18.75
119,Haimen,CN,2021-03-21 22:04:58,23.1935,116.6142,57.2,77,90,8.95
120,Totness,SR,2021-03-21 22:04:59,5.8833,-56.3167,78.04,83,52,9.93
121,Mandalgovi,MN,2021-03-21 22:04:59,45.7625,106.2708,26.1,30,0,14.67
122,Yerbogachen,RU,2021-03-21 22:04:59,61.2767,108.0108,-18.17,92,100,7.05
123,Naqadeh,IR,2021-03-21 22:04:59,36.9553,45.388,43.41,74,62,6.58
124,Shieli,KZ,2021-03-21 22:05:00,44.1667,66.75,39.6,85,25,5.59
125,Sandpoint,US,2021-03-21 22:05:00,48.2766,-116.5533,39.99,87,90,3.44
126,El Alto,PE,2021-03-21 22:05:00,-4.2714,-81.2147,76.14,68,99,13.47
127,Killybegs,IE,2021-03-21 22:05:01,54.6333,-8.45,46.4,87,90,4.61
128,Eydhafushi,MV,2021-03-21 22:05:01,5.1033,73.0708,82.65,65,65,2.57
129,Ilulissat,GL,2021-03-21 22:05:03,69.2167,-51.1,12.2,92,90,26.46
130,Pitimbu,BR,2021-03-21 22:05:03,-7.4706,-34.8086,78.8,83,0,6.91
131,Guabito,PA,2021-03-21 22:05:04,9.5,-82.6167,75.2,88,75,11.5
132,Sahuaripa,MX,2021-03-21 22:00:56,29.05,-109.2333,87.94,14,88,19.42
133,Talnakh,RU,2021-03-21 22:05:04,69.4865,88.3972,-14.49,53,77,6.26
134,Chokurdakh,RU,2021-03-21 22:05:04,70.6333,147.9167,-9.06,80,91,5.7
135,Jiuquan,CN,2021-03-21 22:05:05,39.7432,98.5174,30.34,31,0,2.37
136,Norman Wells,CA,2021-03-21 22:05:05,65.282,-126.8329,-0.4,60,20,9.22
137,Prado,BR,2021-03-21 22:03:22,-17.3411,-39.2208,76.57,84,31,6.51
138,Mlalo,TZ,2021-03-21 22:05:05,-4.9333,38.9333,75.02,91,39,2.64
